"tester","testName","year","mth","day","hour","min","sec","partNo","partRef","age","gender","trialNo","trialType","trialVar","accu","dotPr","touchTime","respTime","trialTime","animShown","prpt.location","validity_basedonRT","reason.invalid","terminated.early.","reason.terminated","held.back.","override.software","Reason.overwritten","retain.RT.as..5000ms","respTime.1","median.time.inh.","med..Time.prpt","trialVar.1","accu.1","accu.prpt","accu.inh","coder","notes","med..time.inh.","Coder","med..Time.inh","median.prpt.time","median.inh.time","inh","prpt","coder.initials","accuracy.prpt","accuracy.inh","X","X.1","trialVariant","avgDotPressed","avgAccuracy","noOfResps","id"
"alexandra","24m2h",2024,6,8,20,55,22,2533,102,21,"female",14,"tpl","prpt",1,0,863,863,863,"apple","",1,"","","","","","",1,863,NA,863,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,55,27,2533,102,21,"female",15,"tpl","prpt",1,0,1297,1297,1297,"bus","",1,"","","","","","",1,1297,NA,1297,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,55,33,2533,102,21,"female",16,"tpl","inhb",0,0,1301,1301,1301,"bus","",1,"","","","","","",1,1301,NA,NA,"inhb",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,55,46,2533,102,21,"female",17,"tpl","prpt",1,0,1368,1383,1383,"elephant2","",1,"","","","","","",1,1383,NA,1383,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,55,51,2533,102,21,"female",18,"tpl","prpt",1,0,11932,11933,11933,"elephant4","",1,"","","","","","",0,11933,NA,NA,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,56,7,2533,102,21,"female",19,"tpl","inhb",0,0,6963,7130,7130,"elephant2","",1,"","","","","","",0,7130,NA,NA,"inhb",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,56,21,2533,102,21,"female",20,"tpl","inhb",1,0,3536,3536,3536,"flower","",1,"","","","","","",1,3536,NA,NA,"inhb",1,"","1","","",3536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,56,29,2533,102,21,"female",21,"tpl","prpt",0,0,2234,2234,2234,"apple","",1,"","","","","","",1,2234,NA,NA,"prpt",0,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,56,37,2533,102,21,"female",22,"tpl","prpt",1,0,1211,1211,1211,"elephant4","",1,"","","","","","",1,1211,NA,1211,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
"alexandra","24m2h",2024,6,8,20,56,42,2533,102,21,"female",23,"tpl","prpt",1,0,3354,3354,3354,"owl","",1,"","","","","","",1,3354,NA,3354,"prpt",1,"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"102"
