"id","age.y","gender.y","trialVar","accu","respTime","income","domlanguagepercent","nondomlanguagepercent","category25","trialNo","age_c","nondom_c"
102,20.33,1,"prpt",1,3354,6,47,53,"bi",23,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,1507,6,47,53,"bi",24,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,4836,6,47,53,"bi",25,-0.124761370016845,29.6468276249298
102,20.33,1,"inhb",0,2163,6,47,53,"bi",26,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,9970,6,47,53,"bi",27,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,2831,6,47,53,"bi",28,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,1036,6,47,53,"bi",29,-0.124761370016845,29.6468276249298
102,20.33,1,"inhb",0,4684,6,47,53,"bi",30,-0.124761370016845,29.6468276249298
102,20.33,1,"inhb",1,3812,6,47,53,"bi",31,-0.124761370016845,29.6468276249298
102,20.33,1,"prpt",1,1996,6,47,53,"bi",32,-0.124761370016845,29.6468276249298
104,20.96,1,NA,1,7872,7,94,6,"uni",1,0.505238629983157,-17.3531723750702
104,20.96,1,NA,1,8331,7,94,6,"uni",1,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,2817,7,94,6,"uni",1,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,1780,7,94,6,"uni",2,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,2147,7,94,6,"uni",3,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,4231,7,94,6,"uni",4,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,3839,7,94,6,"uni",5,0.505238629983157,-17.3531723750702
104,20.96,1,"inhb",0,3674,7,94,6,"uni",6,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,4342,7,94,6,"uni",7,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,5113,7,94,6,"uni",8,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,4683,7,94,6,"uni",9,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,3095,7,94,6,"uni",10,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,3672,7,94,6,"uni",11,0.505238629983157,-17.3531723750702
104,20.96,1,"inhb",1,4397,7,94,6,"uni",12,0.505238629983157,-17.3531723750702
104,20.96,1,"inhb",1,2220,7,94,6,"uni",13,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,3321,7,94,6,"uni",14,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,6239,7,94,6,"uni",15,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,5448,7,94,6,"uni",16,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,6254,7,94,6,"uni",17,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,3058,7,94,6,"uni",18,0.505238629983157,-17.3531723750702
104,20.96,1,"inhb",1,3955,7,94,6,"uni",19,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,3467,7,94,6,"uni",20,0.505238629983157,-17.3531723750702
104,20.96,1,"inhb",1,3005,7,94,6,"uni",21,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,4825,7,94,6,"uni",22,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,3605,7,94,6,"uni",23,0.505238629983157,-17.3531723750702
104,20.96,1,"inhb",1,3365,7,94,6,"uni",24,0.505238629983157,-17.3531723750702
104,20.96,1,"inhb",1,2130,7,94,6,"uni",25,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,3957,7,94,6,"uni",26,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,3635,7,94,6,"uni",27,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,5046,7,94,6,"uni",28,0.505238629983157,-17.3531723750702
104,20.96,1,"inhb",1,2576,7,94,6,"uni",29,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,2557,7,94,6,"uni",30,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,4615,7,94,6,"uni",31,0.505238629983157,-17.3531723750702
104,20.96,1,"prpt",1,1987,7,94,6,"uni",32,0.505238629983157,-17.3531723750702
107,17.63,2,NA,1,6259,7,55,45,"bi",1,-2.82476137001684,21.6468276249298
107,17.63,2,NA,1,9304,7,55,45,"bi",1,-2.82476137001684,21.6468276249298
107,17.63,2,NA,1,8417,7,55,45,"bi",1,-2.82476137001684,21.6468276249298
107,17.63,2,NA,1,6290,7,55,45,"bi",1,-2.82476137001684,21.6468276249298
107,17.63,2,NA,1,7145,7,55,45,"bi",1,-2.82476137001684,21.6468276249298
107,17.63,2,NA,1,3787,7,55,45,"bi",1,-2.82476137001684,21.6468276249298
107,17.63,2,"prpt",1,2063,7,55,45,"bi",3,-2.82476137001684,21.6468276249298
107,17.63,2,"prpt",1,2002,7,55,45,"bi",4,-2.82476137001684,21.6468276249298
107,17.63,2,"prpt",1,3648,7,55,45,"bi",5,-2.82476137001684,21.6468276249298
107,17.63,2,"prpt",1,2551,7,55,45,"bi",7,-2.82476137001684,21.6468276249298
107,17.63,2,"inhb",1,1306,7,55,45,"bi",8,-2.82476137001684,21.6468276249298
107,17.63,2,"prpt",1,3625,7,55,45,"bi",10,-2.82476137001684,21.6468276249298
107,17.63,2,"inhb",0,763,7,55,45,"bi",11,-2.82476137001684,21.6468276249298
107,17.63,2,"prpt",1,912,7,55,45,"bi",12,-2.82476137001684,21.6468276249298
